loan_amnt,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,loan_status,purpose,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit
13550, 36 months,10.75%,442.01,B,B4,Sales,2 years,MORTGAGE,79000,Source Verified,Fully Paid,credit_card,OK,19.22,0,Apr-00,0,99,,9,0,7787,66.60%,23,w,0,Aug-18,0,99,2552,135472,0,3,0,2,13,30633,65,0,1,2153,65,11700,0,0,0,3,15052,1966,77.9,138,114,24,13,2,24,99,,99,1,4,5,4,5,15,5,6,5,9,0,0,95.7,75,0,0,163583,38420,8900,47151
22875, 60 months,17.27%,571.83,D,D2,Teacher,10+ years,RENT,65000,Source Verified,Fully Paid,debt_consolidation,NM,11.75,0,Oct-99,0,,,6,0,25200,90%,9,w,0,Aug-18,0,,0,25200,0,0,0,0,,0,,1,2,8206,90,28000,0,1,0,2,4200,1095,91.7,,197,7,7,0,7,,,,0,2,6,2,4,0,6,9,6,6,0,1,100,100,0,0,28000,25200,13200,0
10000, 36 months,6.49%,306.45,A,A2,Federal Technician,4 years,MORTGAGE,70000,Source Verified,Fully Paid,debt_consolidation,IN,13.66,0,May-99,0,,,5,0,24472,66.50%,19,w,0,Aug-18,0,,0,110357,0,0,0,1,20,0,,0,0,16618,67,36800,2,1,0,1,22071,1921,91.8,159,202,40,20,2,71,,13,,0,2,3,2,7,7,4,10,3,5,0,0,100,100,0,0,137157,24472,23300,0
25000, 36 months,11.99%,830.24,C,C1,Athlete,7 years,RENT,100000,Source Verified,Fully Paid,debt_consolidation,PA,12.01,0,Sep-07,1,,,3,0,25832,73.80%,11,w,0,Nov-17,0,,0,47333,0,1,0,2,21,21501,73,1,1,21047,73,35000,1,0,1,3,15778,4953,80.9,102,95,12,12,1,28,,1,,0,1,2,1,3,6,2,4,2,3,0,1,100,100,0,0,64575,47333,26000,29575
6000, 36 months,12.99%,202.14,C,C2,Salesman,9 years,MORTGAGE,43000,Not Verified,Current,debt_consolidation,MD,14.4,0,May-06,1,,,16,0,15055,63%,21,f,1540.9,Aug-18,0,,0,15055,1,0,0,0,49,0,,1,3,2008,63,23900,0,0,3,3,1004,2168,75.6,114,118,2,2,0,2,,2,,0,7,11,8,9,3,16,18,11,16,0,1,100,37.5,0,0,23900,15055,8900,0
5000, 36 months,11.47%,164.81,B,B5,,n/a,RENT,20000,Source Verified,Current,credit_card,IL,13.27,0,Oct-93,0,27,,5,0,4985,53.60%,8,w,1263.48,Aug-18,0,,0,4985,1,0,0,0,,0,,3,3,213,54,9300,0,0,0,3,997,2287,8.5,,269,2,2,0,2,,,27,0,1,4,1,2,0,5,8,4,5,0,3,87.5,0,0,0,9300,4985,2500,0
10000, 36 months,11.47%,329.62,B,B5,Lead welder,10+ years,RENT,35000,Source Verified,Current,other,CA,22.98,1,Nov-06,0,6,,8,0,6522,39.80%,14,w,2526.96,Aug-18,0,6,0,22827,0,1,0,0,38,16305,54,0,1,2547,49,16400,1,0,1,1,2853,5315,55,112,107,13,13,0,13,,11,,1,4,5,4,5,6,7,8,5,8,1,0,92.9,50,0,0,46522,22827,11800,30122
34000, 60 months,15.31%,814.41,C,C5,general manager,10+ years,MORTGAGE,150000,Source Verified,Charged Off,debt_consolidation,NY,13.81,2,Nov-96,4,21,,15,0,17861,37%,34,w,0,Aug-18,0,54,0,342478,5,2,2,2,3,20422,90,4,5,5844,37,48500,1,1,3,8,24462,6780,43,132,232,5,3,5,5,23,5,21,0,6,10,9,11,8,10,20,9,14,0,7,88,0,0,0,394445,38813,33900,22713
6400, 36 months,16.29%,225.93,D,D1,Server,< 1 year,RENT,20000,Source Verified,Fully Paid,debt_consolidation,FL,11.28,0,Jan-13,0,,,6,0,5022,40.20%,8,w,0,Jan-18,0,,0,5022,0,0,0,0,,0,,2,4,2279,40,12500,0,0,1,4,837,7478,40.2,,38,9,9,0,9,,9,,0,5,5,6,8,0,6,8,5,6,0,2,100,33.3,0,0,12500,5022,12500,0
10000, 36 months,9.75%,321.5,B,B3,Teacher,10+ years,RENT,46000,Source Verified,Current,debt_consolidation,TN,17.38,0,Sep-00,1,70,,6,0,4451,70.70%,17,w,2480.43,Aug-18,0,78,0,29259,2,3,1,3,3,24808,69,1,1,2455,70,6300,0,0,1,4,4877,1849,70.7,172,186,2,2,1,2,,0,,0,2,2,3,4,12,3,4,2,6,0,2,94.1,33.3,0,0,42035,29259,6300,35735
7500, 36 months,14.46%,258.02,C,C4,teacher,8 years,MORTGAGE,30388.8,Source Verified,Fully Paid,debt_consolidation,KS,24.96,0,Sep-95,2,,81,11,1,5546,80.40%,17,w,0,Mar-18,0,,0,160350,1,3,1,2,5,23480,94,0,2,1435,91,6900,1,1,3,5,14577,186,92.6,45,246,15,5,2,19,,3,,0,3,7,3,5,3,7,12,7,11,0,1,100,100,1,0,166315,29026,2500,25125
7200, 36 months,8.39%,226.92,B,B1,Director of Slots,10+ years,RENT,197000,Not Verified,Fully Paid,car,MI,8.08,0,May-00,1,,71,9,1,762,5.40%,28,w,0,Dec-17,0,,0,55556,1,3,3,5,1,54794,62,0,0,505,32,14200,4,2,3,5,7937,9438,7.5,132,190,31,1,1,36,,1,,0,2,2,3,9,13,5,13,2,7,0,3,100,0,1,0,73780,55556,10200,59580
10000, 36 months,11.99%,332.1,C,C1,Potential Specialist,< 1 year,RENT,39700,Source Verified,Current,debt_consolidation,FL,16.14,1,May-95,0,17,,6,0,6748,86.50%,23,w,2541.03,Aug-18,0,28,0,24701,0,2,0,1,15,17953,119,0,0,3694,108,7800,0,4,0,1,6175,1052,86.5,250,128,26,15,4,75,,,17,2,2,2,2,3,8,4,11,2,6,0,0,82.6,100,0,0,22910,24701,7800,15110
30000, 60 months,9.75%,633.73,B,B3,Teacher,10+ years,MORTGAGE,120000,Source Verified,Fully Paid,debt_consolidation,NY,16.95,0,Jan-88,1,70,,36,0,30323,31.70%,58,w,0,Aug-18,0,,0,384038,2,3,0,1,21,15362,61,2,8,10580,38,95800,1,0,2,9,10973,36068,40.2,163,333,3,3,2,3,,0,,0,10,21,16,23,5,32,49,21,36,0,2,98.3,18.7,0,0,476274,45685,60300,25324
25000, 36 months,5.32%,752.87,A,A1,sale associate,10+ years,RENT,80000,Not Verified,Fully Paid,debt_consolidation,CA,20.45,0,Aug-89,0,,,13,0,13223,19.10%,24,w,0,Apr-18,0,,0,47876,1,2,1,1,11,27727,76,1,1,6545,41,69300,5,0,11,2,3683,50077,20.9,142,317,6,6,0,6,,5,,0,5,5,9,9,10,10,13,5,13,0,2,100,11.1,0,0,115796,47876,63300,36624
5000, 36 months,12.99%,168.45,C,C2,Customer Service/Phone Operator,10+ years,RENT,23000,Source Verified,Current,debt_consolidation,NC,31.52,0,Nov-88,1,,,6,0,3560,58.40%,7,w,1284.3,Aug-18,0,,0,28899,0,2,1,1,12,25339,91,1,2,2360,85,6100,2,2,4,3,4817,140,94.4,328,49,12,12,0,13,,4,,0,1,3,1,1,3,4,4,3,6,0,2,100,100,0,0,34066,28899,2500,27966
10000, 36 months,14.46%,344.02,C,C4,,n/a,RENT,49000,Verified,Charged Off,debt_consolidation,NY,33.73,0,May-01,0,,58,7,1,10014,80.80%,15,w,0,Jun-16,0,,0,53011,1,3,3,3,5,42997,83,1,2,5019,82,12400,0,0,3,5,7573,81,98.4,134,178,8,5,0,178,,5,,0,1,4,1,1,9,4,6,4,7,0,4,100,100,0,0,64387,53011,5100,51987
6000, 36 months,13.67%,204.11,C,C3,Salesman ,10+ years,RENT,69000,Source Verified,Charged Off,debt_consolidation,FL,11.54,0,Sep-95,1,42,64,9,2,5424,36.90%,12,w,0,Aug-18,0,,0,23263,2,1,1,1,12,17719,79,2,5,2027,62,14700,1,0,1,7,2585,4693,39.8,119,246,2,2,0,2,,6,,0,2,5,3,3,3,7,8,5,9,0,4,91.7,0,0,2,37766,23263,7800,22534
8200, 36 months,11.47%,270.29,B,B5,Registered Nurse,10+ years,RENT,70000,Source Verified,Fully Paid,debt_consolidation,MS,12.74,0,Jun-06,1,80,62,10,5,6337,41.70%,18,w,0,Jul-18,0,,149,37329,1,1,0,1,15,30992,,1,3,4536,42,15200,1,0,1,4,4666,2963,68.1,35,117,3,3,0,3,,0,80,0,2,2,3,8,2,9,16,2,10,0,1,94.4,33.3,0,5,52526,37329,9300,37326
18200, 36 months,15.31%,633.68,C,C5,labor,3 years,OWN,56471,Source Verified,Current,credit_card,OH,28.4,0,Mar-04,0,70,,6,0,4753,80.60%,22,w,4790.16,Aug-18,0,70,96,8610,0,1,0,1,24,3857,33,0,1,969,49,5900,0,2,0,2,1435,413,85.8,144,142,13,13,1,13,95,,95,4,4,5,4,8,9,5,12,5,6,0,0,81.8,75,0,0,17471,8610,2900,11571
10000, 60 months,14.46%,235.08,C,C4,Nursing assistant ,6 years,RENT,32000,Source Verified,Charged Off,credit_card,FL,14.52,0,Jun-09,1,,,9,0,8988,43.40%,14,w,0,Aug-18,0,,0,20505,1,4,0,0,49,11517,102,1,1,7169,64,20700,0,0,1,1,2278,814,90.4,78,81,3,3,0,38,,3,,0,2,4,3,5,6,5,8,4,9,0,1,100,33.3,0,0,31950,20505,8500,11250
5000, 36 months,6.97%,154.32,A,A3,,n/a,OWN,25000,Source Verified,Current,major_purchase,PA,3.31,0,Aug-88,0,,,3,0,2246,34.60%,12,w,1202.79,Aug-18,0,,0,2246,0,0,0,0,61,0,,0,0,1199,35,6500,0,0,1,0,749,3301,26.6,128,331,108,61,2,108,,9,,0,1,2,2,4,2,3,8,2,3,0,0,100,50,0,0,6500,2246,4500,0
28700, 36 months,7.39%,891.3,A,A4,VP Sales,1 year,OWN,205000,Source Verified,Fully Paid,credit_card,TX,10.31,0,Jul-76,1,27,,7,0,33054,42.40%,22,w,0,Oct-17,0,,0,321016,1,1,0,1,15,37373,,0,1,20069,36,78600,3,0,11,3,53503,45546,42.4,125,226,14,5,1,14,27,0,27,0,3,3,3,10,7,3,12,3,7,0,1,84.2,0,0,0,382473,70749,78600,46027
10000, 36 months,9.16%,318.75,B,B2,Environmental ,8 years,MORTGAGE,80000,Not Verified,Fully Paid,debt_consolidation,IL,8.16,0,Apr-06,0,60,,8,0,4532,35.10%,16,w,0,Aug-18,0,60,2093,155349,0,1,0,0,60,4634,28,1,5,2688,31,12900,0,0,3,7,19419,8368,35.1,119,118,12,12,1,13,74,11,73,3,3,3,5,8,3,5,11,3,8,0,2,80,20,0,0,177905,9171,12900,16329
32000, 36 months,7.89%,1001.15,A,A5,President,6 years,MORTGAGE,72000,Verified,Current,major_purchase,CA,24.03,0,Oct-03,1,81,95,12,1,15445,15.70%,22,w,7776.97,Aug-18,0,,0,35490,1,2,0,2,18,20045,51,1,3,7791,26,98300,1,2,2,5,3226,82855,15.7,132,149,6,6,3,6,,0,,0,3,3,10,13,5,10,14,3,12,0,1,95.5,0,1,0,137358,35490,98300,39058
24000, 60 months,11.99%,533.75,C,C1,Legal Assistant,10+ years,MORTGAGE,86000,Not Verified,Current,debt_consolidation,MD,16.13,0,Feb-00,0,,,7,0,21614,92.40%,21,w,14556.76,Aug-18,0,,0,609846,0,1,1,1,8,8232,82,0,1,15933,89,23400,1,0,1,2,121969,1786,92.4,163,193,20,8,2,20,,8,,0,3,3,3,8,4,5,15,3,7,0,1,100,100,0,0,613422,29846,23400,10022
4400, 36 months,9.75%,141.46,B,B3,Drawbridge Operator,8 years,RENT,33000,Verified,Fully Paid,credit_card,CA,28.44,0,Jul-96,0,,73,9,1,10522,75.70%,26,w,0,Jul-17,0,,0,40514,0,2,2,4,7,29992,91,0,0,1489,86,13900,0,13,0,4,5788,511,74.4,236,236,27,7,2,43,,23,,0,1,3,2,5,11,7,13,3,9,0,2,100,50,1,0,47033,40514,2000,33133
9600, 36 months,23.13%,372.27,F,F1,Customer Support Analyst,< 1 year,RENT,30000,Source Verified,Current,credit_card,GA,38.12,0,Jul-06,0,68,,19,0,10435,91.50%,22,f,2351.46,Aug-18,0,78,98,74570,0,12,3,5,10,64135,96,0,0,4546,96,11400,0,0,0,5,3925,688,93.1,87,116,28,10,0,28,68,,68,0,4,5,5,8,12,7,10,5,19,0,3,90.9,60,0,0,77963,74570,10000,66563
9000, 36 months,10.75%,293.59,B,B4,Construction ,1 year,RENT,65000,Source Verified,Charged Off,debt_consolidation,TX,21.36,0,Jul-86,0,,,7,0,7789,36.90%,7,w,0,Sep-17,0,,0,72895,1,2,2,2,6,65106,92,1,4,5000,67,21100,1,1,3,6,10414,5001,57.6,10,356,10,6,0,15,,6,,0,2,3,2,2,2,5,5,3,7,0,3,100,50,0,0,90953,72895,11800,69853
9600, 36 months,9.75%,308.64,B,B3,unit leader,10+ years,MORTGAGE,120000,Not Verified,Fully Paid,home_improvement,ID,13.11,1,Sep-99,1,15,,16,0,5375,18.20%,35,w,0,May-18,0,59,453,165800,2,3,2,3,7,26846,62,1,2,2437,44,29500,2,14,4,6,10363,14649,25.3,138,198,0,0,4,41,,0,,1,3,4,6,6,17,11,14,4,16,0,4,91.2,33.3,0,0,207042,32221,19600,43252
12000, 60 months,6.97%,237.45,A,A3,Teacher,8 years,MORTGAGE,54000,Not Verified,Current,debt_consolidation,MD,13,0,Apr-03,0,36,,4,0,6825,68.90%,19,w,6915.46,Aug-18,0,,0,199482,0,1,0,1,21,11704,78,0,0,6107,74,9900,0,1,1,1,49871,1893,76.3,155,152,40,21,1,152,,9,36,0,1,2,1,4,7,2,11,2,4,0,0,94.7,100,0,0,230114,18529,8000,15000
15000, 36 months,11.47%,494.43,B,B5,Sales Manager,3 years,MORTGAGE,77100,Not Verified,Current,home_improvement,OK,35.16,0,Sep-94,0,69,,16,0,15986,25.10%,28,w,3790.43,Aug-18,0,,0,288485,0,4,3,5,7,71135,87,0,2,9883,60,63700,0,1,0,7,18030,45136,21.1,258,101,22,7,5,22,,13,,0,4,6,6,9,10,8,12,6,16,0,3,92.9,0,0,0,372394,87516,57200,81445
13000, 36 months,7.39%,403.73,A,A4,Practice Manager,6 years,OWN,54000,Not Verified,Current,credit_card,NC,21.07,0,Oct-03,0,,,16,0,14968,69.90%,30,w,3141.93,Aug-18,0,,0,92192,1,10,0,0,44,77224,98,1,1,4673,92,21400,6,2,4,3,5762,6432,69.9,149,133,1,1,3,1,,3,,0,6,6,6,6,19,6,8,6,16,0,1,100,66.7,0,0,99887,92192,21400,78487
8200, 36 months,5.32%,246.95,A,A1,manager,10+ years,MORTGAGE,38000,Source Verified,Fully Paid,debt_consolidation,AZ,15.16,0,Feb-99,0,57,,10,0,8115,16.10%,23,w,0,Apr-18,0,57,0,13440,0,1,0,0,48,5325,35,0,0,6343,20,50500,0,0,0,0,1344,37157,14.8,125,205,44,44,4,44,,,,1,3,4,7,12,2,9,17,4,10,0,0,95.7,0,0,0,65740,13440,43600,15240
12775, 36 months,11.99%,424.26,C,C1,President/Owner,10+ years,MORTGAGE,53000,Source Verified,Current,debt_consolidation,IL,38.84,0,Jul-80,0,,,22,0,34248,58.20%,44,w,3246.09,Aug-18,0,,878,260447,1,2,0,1,22,25740,31,0,0,9612,53,58800,1,12,2,2,12402,11388,69.6,133,428,26,3,4,26,,2,,0,8,13,10,13,16,18,23,13,22,0,1,100,40,0,0,307435,59988,37400,46435
6000, 36 months,7.39%,186.34,A,A4,vine worker,1 year,RENT,32000,Source Verified,Fully Paid,home_improvement,CA,26.86,0,May-06,0,80,,6,0,5046,58%,16,w,0,Jul-18,0,,0,13936,1,2,0,1,21,8890,42,1,1,2463,47,8700,2,0,0,2,2323,1924,71.3,118,113,5,5,0,5,80,22,80,0,2,3,2,7,4,4,12,3,6,0,1,93.7,50,0,0,29901,13936,6700,21201
2000, 36 months,22.45%,76.85,E,E5,Teacher,3 years,RENT,38000,Source Verified,Fully Paid,debt_consolidation,SC,14.78,1,Aug-09,2,22,,32,0,6856,50.40%,49,f,0,Aug-18,0,,403,111319,2,26,6,10,2,104463,102,1,4,1867,96,13600,2,1,4,14,3479,1305,71.6,79,64,4,2,0,22,,2,22,0,2,3,2,2,41,6,8,3,32,0,7,95.8,0,0,0,116199,111319,4600,102599
8000, 36 months,5.32%,240.92,A,A1,Realtor,10+ years,RENT,80000,Source Verified,Fully Paid,vacation,TN,20,0,Apr-89,0,,,14,0,11101,25.80%,27,w,0,Aug-18,0,,0,35291,2,2,1,2,12,24190,70,2,3,3118,45,43000,1,0,1,5,2521,22696,31.4,128,323,5,5,0,5,,12,,0,7,10,7,10,7,12,20,10,14,0,3,100,28.6,0,0,77825,35291,33100,34825
5800, 36 months,12.99%,195.4,C,C2,eligibility ,6 years,RENT,34000,Source Verified,Fully Paid,debt_consolidation,MN,31.1,1,May-06,0,10,,9,0,3601,35.70%,16,w,0,Aug-18,0,,0,19417,0,3,0,1,20,15816,53,0,1,3601,49,10100,0,2,1,2,3236,2899,55.4,71,118,15,15,0,83,10,11,10,0,1,1,4,6,6,6,10,1,9,0,0,87.5,0,0,0,39856,19417,6500,29756
18000, 36 months,12.99%,606.41,C,C2,Lock and Dam Operator,< 1 year,RENT,90000,Source Verified,Fully Paid,debt_consolidation,AR,5.92,0,Feb-08,1,,,10,0,13895,53.90%,17,w,0,Apr-18,0,,0,19315,2,1,0,0,27,5420,64,5,6,4765,56,25800,0,0,2,6,1932,4302,66.9,97,54,4,4,0,4,,5,,0,4,6,6,7,6,9,11,6,10,0,5,100,50,0,0,34300,19315,13000,8500
35000, 36 months,17.27%,1252.56,D,D2,Owner,10+ years,RENT,107000,Verified,Current,debt_consolidation,CA,21.88,0,Mar-96,0,,47,9,2,65692,92.70%,20,w,9401.2,Aug-18,0,,0,86057,0,2,2,2,9,20365,88,0,0,24914,92,70900,0,12,0,2,10757,2844,94.1,157,240,27,9,0,41,,18,,0,2,3,4,6,9,7,11,3,9,0,2,100,50,0,2,93936,86057,48400,23036
29400, 60 months,9.16%,612.59,B,B2,,n/a,MORTGAGE,62000,Not Verified,Fully Paid,debt_consolidation,AL,37.61,0,Jan-94,0,,,18,0,8589,12.90%,41,w,0,May-18,0,,0,175397,1,4,0,1,22,42551,50,1,3,3423,34,66800,1,6,0,4,9744,46511,15.6,151,266,5,5,4,5,,19,,0,6,6,9,10,17,13,20,6,18,0,1,100,0,0,0,286576,51140,55100,84995
13000, 60 months,8.39%,266.03,B,B1,Registered Nurse,2 years,RENT,66000,Source Verified,Current,credit_card,IL,10.62,0,Sep-03,0,34,,12,0,11424,55.70%,19,w,7603.95,Aug-18,0,,0,77071,1,6,0,2,14,65596,113,1,1,5314,86,20500,0,0,0,3,7006,9076,55.7,150,115,2,2,0,2,,15,,0,4,4,4,7,9,4,7,4,11,0,1,94.4,25,0,0,71768,77071,20500,50941
12200, 60 months,11.47%,268.13,B,B5,Dental Hygienist,6 years,RENT,90000,Verified,Current,debt_consolidation,TX,19.36,0,Sep-86,2,,77,11,1,2813,27.60%,39,w,7361.86,Aug-18,0,,0,71773,2,5,2,3,2,68960,63,1,1,2788,56,10200,1,7,7,4,7177,712,79.7,186,354,6,2,2,6,,1,,0,1,2,1,9,10,6,27,2,11,0,3,100,100,1,0,94967,71773,3500,84767
4000, 36 months,13.67%,136.08,C,C3,CNA,2 years,MORTGAGE,24000,Source Verified,Current,debt_consolidation,AL,28.1,0,Sep-96,1,,81,6,1,3078,58.10%,29,w,1034.5,Aug-18,0,,0,23915,2,2,2,3,5,20837,93,1,3,2489,86,5300,2,1,3,6,3986,11,99.6,135,234,1,1,3,76,,1,,0,1,2,1,5,11,4,15,2,6,0,3,100,100,1,0,27673,23915,2500,22373
21000, 60 months,14.46%,493.66,C,C4,Software Development Manager,8 years,MORTGAGE,115000,Source Verified,Fully Paid,debt_consolidation,NV,15.46,0,Nov-03,0,31,,12,0,15638,42.20%,27,w,0,Mar-18,0,,0,51873,1,2,0,0,25,36235,49,1,4,3848,45,37100,1,1,5,6,4323,14444,43.6,59,148,1,1,3,1,31,3,31,0,6,9,6,7,6,10,18,9,12,0,1,96.3,83.3,0,0,96208,51873,25600,59108
25000, 36 months,11.99%,830.24,C,C1,Insurance Agent,2 years,OWN,76000,Verified,Charged Off,credit_card,FL,28.83,0,Sep-97,2,,,16,0,20879,73%,25,w,0,Feb-17,0,,0,65819,2,4,1,2,12,44940,68,2,2,4932,73,28500,0,1,3,4,4113,2045,93,220,222,0,0,1,6,,0,,0,11,12,14,14,8,12,16,11,16,0,3,100,81.8,0,0,94435,65819,22500,65935
3800, 36 months,14.46%,130.73,C,C4,medical assistant,3 years,RENT,36900,Source Verified,Fully Paid,debt_consolidation,MD,37.53,2,Sep-08,0,10,,6,0,224,13.20%,14,f,0,Aug-18,0,10,0,31993,0,4,0,0,34,31769,49,1,2,113,48,1700,7,0,1,2,5332,1476,13.2,81,90,9,9,0,9,29,9,29,4,2,2,2,4,10,2,4,2,6,2,1,71.4,0,0,0,67163,31993,1700,65463
